Nathan MacKinnon
Connor McDavid
Leon Draisaitl
Connor Hellebuyck
Cale Makar
Nikita Kucherov
Alex Ovechkin
David Pastrnak
Zach Werenski
Andrei Vasilevskiy
Kirill Kaprizov
Jack Eichel
Brady Tkachuk
Auston Matthews
Kyle Connor
Sam Reinhart
William Nylander
Mark Scheifele
Mitch Marner
Mikko Rantanen
Martin Necas
Sidney Crosby
Brayden Point
Nick Suzuki
Jason Robertson
Tim Stützle
Quinn Hughes
Logan Thompson
Victor Hedman
Jake Guentzel
Lane Hutson
Jake Oettinger
Wyatt Johnston
Mackenzie Blackwood
Moritz Seider
Lucas Raymond
Clayton Keller
Brandon Hagel
Matt Boldy
Filip Forsberg
Tom Wilson
Evan Bouchard
Artemi Panarin
Filip Gustavsson
Tage Thompson
Cole Caufield
Jake Sanderson
Jesper Bratt
Roope Hintz
John Tavares
Dougie Hamilton
MacKenzie Weegar
Sergei Bobrovsky
Macklin Celebrini
Josh Morrissey
Sebastian Aho
Valeri Nichushkin
Rasmus Dahlin
Darcy Kuemper
Alex DeBrincat
Nico Hischier
Aleksander Barkov
Dylan Larkin
Robert Thomas
Ryan Nugent-Hopkins
Carter Verhaeghe
Rickard Rakell
Seth Jarvis
Mark Stone
Drake Batherson
Dylan Strome
Linus Ullmark
Matt Duchene
Jakob Chychrun
Jordan Kyrou
J.T. Miller
Thomas Harley
Frederik Andersen
Dylan Guenther
Anthony Stolarz
Adrian Kempe
Jordan Binnington
Igor Shesterkin
John Carlson
Nikolaj Ehlers
Connor Bedard
Patrick Kane
Logan Cooley
Erik Karlsson
Tomas Hertl
Brandon Montour
Adin Hill
Mikhail Sergachev
Shea Theodore
Sean Monahan
Kiefer Sherwood
Mason McTavish
Kirill Marchenko
Dustin Wolf
Jacob Markstrom
Timo Meier
Mikael Granlund
Zach Hyman
Travis Konecny
Adam Fantilli
Vincent Trocheck
Mika Zibanejad
Pyotr Kochetkov
Alex Tuch
Kevin Fiala
Nazem Kadri
Frank Vatrano
Ilya Sorokin
Brock Nelson
Artturi Lehkonen
Matthew Knies
Andrei Svechnikov
Juraj Slafkovsky
Brad Marchand
Pierre-Luc Dubois
Joseph Woll
Luke Hughes
Sam Montembeault
Matvei Michkov
Pavel Dorofeyev
Bryan Rust
Adam Fox
Jackson LaCombe
Calvin Pickard
Shayne Gostisbehere
Pavel Buchnevich
Dylan Cozens
Quinton Byfield
Anze Kopitar
Taylor Hall
Nick Schmaltz
Mats Zuccarello
JJ Peterka
Bo Horvat
Jonathan Huberdeau
Will Smith
Tyler Toffoli
Boone Jenner
Casey DeSmith
Joel Hofer
Vince Dunn
Connor McMichael
Cam Fowler
Morgan Geekie
Noah Dobson
William Eklund
Seth Jones
Steven Stamkos
Brock Boeser
Zack Bolduc
Kent Johnson
Scott Wedgewood
Joey Daccord
Anders Lee
Mackie Samoskevich
Mason Marchment
Drew Doughty
Alex Pietrangelo
Karel Vejmelka
Jake DeBrusk
Jake Neighbours
Cutter Gauthier
Ivan Barbashev
Jake Walman
Leo Carlsson
Thatcher Demko
Kevin Lankinen
Anthony Cirelli
Patrik Laine
Pius Suter
Cole Perfetti
Devon Toews
Troy Terry
Brayden Schenn
Ryan Donato
Joel Eriksson Ek
Jackson Blake
Sam Bennett
Jet Greaves
Jake Allen
Justin Faulk
Matt Coronato
Jamie Benn
William Karlsson
Ivan Demidov
David Perron
Ryan Leonard
Andrei Kuzmenko
Jimmy Snuggerud
Jack Quinn
James Reimer
Ryan McLeod
Trevor Zegras
Jared McCann
Elias Lindholm
Neal Pionk
Colton Parayko
Tyler Seguin
Stuart Skinner
Matthew Tkachuk
Dylan Holloway
Aliaksei Protas
Gabriel Vilardi
Elias Pettersson
Josh Norris
Jonathan Drouin
Mathew Barzal
Evander Kane
Jack Hughes
Roman Josi
Charlie McAvoy
Mattias Ekholm
Miro Heiskanen
Kris Letang
